난이도,분류,문제번호,제목,사용자,정답,메모리,시간,언어,코드길이,제출날짜
Bronze III,사칙연산/구현/수학,10950,A+B - 3,UNRANK,시간 초과,,,C++17,208,2022-04-16 17:24
Bronze III,브루트포스 알고리즘/수학/정수론,5618,공약수,UNRANK,맞았습니다!!,11988,512,Java 8,826,2022-04-16 17:24
Silver V,브루트포스 알고리즘,1018,체스판 다시 칠하기,UNRANK,런타임 에러 (TypeError),,,node.js,1237,2022-04-16 17:24
Bronze II,브루트포스 알고리즘,2798,블랙잭,UNRANK,맞았습니다!!,30840,1028,Python 3,566,2022-04-16 17:24
Platinum III,깊이 우선 탐색/다이나믹 프로그래밍/트리에서의 다이나믹 프로그래밍/그래프 이론/그래프 탐색/트리,21759,두 개의 팀,Diamond V,17점,17704,84,C++17,1280,2022-04-16 17:24
Silver II,백트래킹/브루트포스 알고리즘,1182,부분수열의 합,Gold IV,맞았습니다!!,2020,4,C++17,440,2022-04-16 17:24
Gold II,그래프 이론/위상 정렬,2623,음악프로그램,Gold I,맞았습니다!!,32452,96,Python 3,796,2022-04-16 17:24
Gold IV,플로이드–와샬/그래프 이론,1956,운동,Platinum III,틀렸습니다,,,C++17,795,2022-04-16 17:24
Silver II,자료 구조/우선순위 큐,11279,최대 힙,Diamond V,틀렸습니다,,,C++17,1533,2022-04-16 17:24
Silver V,그리디 알고리즘/수학,1789,수들의 합,Not ratable,틀렸습니다,,,Java 11,460,2022-04-16 17:24
Silver I,너비 우선 탐색/그래프 이론/그래프 탐색,2178,미로 탐색,Silver II,맞았습니다!!,16488,192,Java 11,2410,2022-04-16 17:24
Gold IV,너비 우선 탐색/깊이 우선 탐색/그래프 이론/그래프 탐색,1707,이분 그래프,UNRANK,런타임 에러,,,PyPy3,1089,2022-04-16 17:24
Bronze III,구현,2742,기찍 N,UNRANK,맞았습니다!!,30840,124,Python 3,107,2022-04-16 17:24
Silver V,구현/문자열,1316,그룹 단어 체커,Gold IV,틀렸습니다,,,C++17,502,2022-04-16 17:24
Gold IV,벨만–포드/그래프 이론,11657,타임머신,Silver III,맞았습니다!!,30840,668,Python 3,854,2022-04-16 17:24
Silver I,너비 우선 탐색/그래프 이론/그래프 탐색,1697,숨바꼭질,Gold V,메모리 초과,,,Python 3,290,2022-04-16 17:24
Bronze II,사칙연산/구현/수학,2587,대표값2,UNRANK,맞았습니다!!,1112,0,C++17,264,2022-04-16 17:24
Silver V,브루트포스 알고리즘/구현,7568,덩치,UNRANK,맞았습니다!!,2020,0,C++17,445,2022-04-16 17:24
Bronze III,사칙연산/구현/수학,2739,구구단,Bronze I,맞았습니다!!,1112,0,C99,158,2022-04-16 17:24
Bronze III,사칙연산/구현/수학,2739,구구단,UNRANK,맞았습니다!!,1112,0,C++17,159,2022-04-16 17:24
Silver IV,수학/정수론/소수 판정/에라토스테네스의 체,1978,소수 찾기,Gold IV,틀렸습니다,,,Python 3,339,2022-04-16 17:24
Silver IV,그리디 알고리즘,13305,주유소,UNRANK,100점,2672,36,C++17,593,2022-04-16 17:24
Silver I,수학/정수론/소수 판정/에라토스테네스의 체,9020,골드바흐의 추측,Bronze V,틀렸습니다,,,Python 3,408,2022-04-16 17:24
Silver IV,자료 구조/스택/문자열,4949,균형잡힌 세상,Gold IV,맞았습니다!!,30840,112,Python 3,707,2022-04-16 17:24
Platinum V,자료 구조/그리디 알고리즘/우선순위 큐/트리,23578,비 오는 날,Diamond V,컴파일 에러,,,C++17,773,2022-04-16 17:24
Silver V,조합론/다이나믹 프로그래밍/수학,1010,다리 놓기,Silver II,맞았습니다!!,2020,0,C++17,315,2022-04-16 17:24
UNRANK,구현,15643,Yee,Silver I,틀렸습니다,,,Text,,2022-04-16 17:24
Gold V,0-1 너비 우선 탐색/너비 우선 탐색/다익스트라/그래프 이론/그래프 탐색,13549,숨바꼭질 3,Gold II,틀렸습니다,,,Python 3,760,2022-04-16 17:24
Gold III,깊이 우선 탐색/그래프 이론/그래프 탐색,9466,텀 프로젝트,UNRANK,런타임 에러 (RecursionError),,,PyPy3,558,2022-04-16 17:24
Bronze II,구현/문자열,10809,알파벳 찾기,Bronze I,틀렸습니다,,,Python 3,237,2022-04-16 17:24
Silver V,조합론/다이나믹 프로그래밍/수학,16395,파스칼의 삼각형,UNRANK,컴파일 에러,,,Python 3,281,2022-04-16 17:24
Bronze II,사칙연산/그리디 알고리즘/구현/수학,14471,포인트 카드,Bronze III,컴파일 에러,,,Python 3,357,2022-04-16 17:24
Silver III,그리디 알고리즘/수학/정렬,18310,안테나,UNRANK,출력 초과,,,PyPy3,311,2022-04-16 17:24
Silver II,자료 구조/우선순위 큐,11279,최대 힙,Diamond V,시간 초과,,,C++17,1491,2022-04-16 17:24
UNRANK,,10889,Ancient symbol,Diamond II,맞았습니다!!,2020,0,C++17,170,2022-04-16 17:24
Gold III,너비 우선 탐색/브루트포스 알고리즘/그래프 이론/그래프 탐색/구현,16985,Maaaaaaaaaze,Gold III,맞았습니다!!,123392,2508,PyPy3,1783,2022-04-16 17:24
UNRANK,구현,15643,Yee,Silver I,틀렸습니다,,,Text,,2022-04-16 17:24
Gold III,다이나믹 프로그래밍/트리에서의 다이나믹 프로그래밍/트리,2533,사회망 서비스(SNS),Diamond IV,맞았습니다!!,70968,704,C++17,573,2022-04-16 17:24
Silver III,그리디 알고리즘/수학/정렬,18310,안테나,UNRANK,출력 초과,,,Python 3,311,2022-04-16 17:24
Bronze II,구현/수학/문자열,1225,이상한 곱셈,Bronze I,틀렸습니다,,,C++17,502,2022-04-16 17:24
